DATE,GS5,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2009-03-01,1.82,-0.050000000000000044,-2.6737967914438525,-0.6599999999999999,-26.61290322580645
2009-04-01,1.86,0.040000000000000036,2.1978021978021998,-0.9799999999999998,-34.50704225352112
2009-05-01,2.13,0.2699999999999998,14.516129032258052,-1.02,-32.38095238095238
2009-06-01,2.71,0.5800000000000001,27.23004694835681,-0.7800000000000002,-22.349570200573073
2009-07-01,2.46,-0.25,-9.22509225092251,-0.8399999999999999,-25.454545454545453
2009-08-01,2.57,0.10999999999999988,4.471544715447149,-0.5700000000000003,-18.152866242038222
2009-09-01,2.37,-0.19999999999999973,-7.782101167315165,-0.5099999999999998,-17.708333333333325
2009-10-01,2.33,-0.040000000000000036,-1.6877637130801704,-0.3999999999999999,-14.65201465201465
2009-11-01,2.23,-0.10000000000000009,-4.291845493562235,-0.06000000000000005,-2.6200873362445436
2009-12-01,2.34,0.10999999999999988,4.932735426008963,0.8199999999999998,53.94736842105262
2010-01-01,2.48,0.14000000000000012,5.982905982905988,0.8799999999999999,54.99999999999999
2010-02-01,2.36,-0.1200000000000001,-4.8387096774193585,0.48999999999999977,26.203208556149722
2010-03-01,2.43,0.07000000000000028,2.9661016949152663,0.6100000000000001,33.51648351648352
2010-04-01,2.58,0.1499999999999999,6.172839506172836,0.72,38.70967741935484
2010-05-01,2.18,-0.3999999999999999,-15.503875968992245,0.050000000000000266,2.3474178403755994
2010-06-01,2.0,-0.18000000000000016,-8.256880733944962,-0.71,-26.199261992619927
2010-07-01,1.76,-0.24,-12.0,-0.7,-28.455284552845526
2010-08-01,1.47,-0.29000000000000004,-16.47727272727273,-1.0999999999999999,-42.80155642023346
2010-09-01,1.41,-0.06000000000000005,-4.081632653061228,-0.9600000000000002,-40.50632911392405
2010-10-01,1.18,-0.22999999999999998,-16.31205673758865,-1.1500000000000001,-49.35622317596567
2010-11-01,1.35,0.17000000000000015,14.406779661016964,-0.8799999999999999,-39.46188340807175
2010-12-01,1.93,0.5799999999999998,42.96296296296295,-0.4099999999999999,-17.52136752136752
2011-01-01,1.99,0.06000000000000005,3.108808290155443,-0.49,-19.758064516129032
2011-02-01,2.26,0.2699999999999998,13.56783919597989,-0.10000000000000009,-4.237288135593224
2011-03-01,2.11,-0.1499999999999999,-6.637168141592917,-0.3200000000000003,-13.1687242798354
2011-04-01,2.17,0.06000000000000005,2.8436018957346,-0.41000000000000014,-15.891472868217061
2011-05-01,1.84,-0.32999999999999985,-15.207373271889393,-0.3400000000000001,-15.596330275229361
2011-06-01,1.58,-0.26,-14.130434782608695,-0.41999999999999993,-20.999999999999996
2011-07-01,1.54,-0.040000000000000036,-2.531645569620255,-0.21999999999999997,-12.499999999999998
2011-08-01,1.02,-0.52,-33.76623376623377,-0.44999999999999996,-30.61224489795918
2011-09-01,0.9,-0.12,-11.76470588235294,-0.5099999999999999,-36.170212765957444
