DATE,WILL5000PR,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2006-03-01,99.1757,1.6659800000000047,1.708527108887201,11.21875,12.754819261013484
2006-04-01,100.16537,0.9896699999999896,0.9978956538748801,14.246799999999993,16.581747112411197
2006-05-01,96.76379,-3.4015799999999956,-3.3959640941774545,7.739770000000007,8.6940243767918
2006-06-01,96.81247,0.0486800000000045,0.05030807495242228,7.197090000000003,8.031087967266336
2006-07-01,96.59986,-0.21260999999999797,-0.2196101390657608,3.381930000000011,3.6279822991134982
2006-08-01,98.64594,2.0460799999999892,2.118098307802919,6.442479999999989,6.987243211914161
2006-09-01,100.69437,2.0484300000000104,2.0765477018111547,7.857680000000002,8.463981212600322
2006-10-01,104.241,3.5466299999999933,3.522173086737613,13.211780000000005,14.513779201887047
2006-11-01,106.35669,2.1156900000000007,2.0296140674015026,11.904499999999999,12.603731051656927
2006-12-01,107.44636,1.0896699999999981,1.0245429789136895,12.989859999999993,13.752213982097572
2007-01-01,109.38089,1.9345299999999952,1.8004611789547782,11.652509999999992,11.92336351016971
2007-02-01,107.4317,-1.9491899999999873,-1.7820206070731253,9.921980000000005,10.175375336940773
2007-03-01,108.49099,1.05928999999999,0.9860125084123122,9.31528999999999,9.392714142678086
2007-04-01,112.72986,4.238870000000006,3.9071170794920445,12.564490000000006,12.543746406567466
2007-05-01,116.6197,3.8898399999999924,3.4505853196304797,19.855909999999994,20.519979632877128
2007-06-01,114.60612,-2.0135799999999904,-1.7266208024887653,17.79365,18.37950214471338
2007-07-01,110.60306,-4.003060000000005,-3.4928850221960266,14.003199999999993,14.496087261410102
2007-08-01,111.91955,1.3164900000000017,1.1902835238012417,13.273610000000005,13.455809737329286
2007-09-01,115.77522,3.8556700000000035,3.445037082440024,15.080849999999998,14.976855210475021
2007-10-01,117.86984,2.094619999999992,1.8092127140850969,13.628839999999997,13.074356539173642
2007-11-01,112.38748,-5.48236,-4.651198304842019,6.030789999999996,5.670343821343064
2007-12-01,111.51118,-0.8763000000000005,-0.7797131851341453,4.064819999999997,3.783115593678555
2008-01-01,104.6304,-6.8807800000000015,-6.170484430350394,-4.750489999999999,-4.3430712622652825
2008-02-01,101.26517,-3.365229999999997,-3.2163023366058017,-6.166530000000009,-5.739953849748266
2008-03-01,100.40429,-0.8608799999999945,-0.8501244801149246,-8.086699999999993,-7.453798697937952
2008-04-01,105.29242,4.888130000000004,4.868447354191742,-7.437439999999995,-6.597577607210721
2008-05-01,107.2791,1.9866799999999927,1.886821482496074,-9.340599999999995,-8.009452948344057
2008-06-01,98.38073,-8.89837,-8.294597922614937,-16.225390000000004,-14.157524921007711
2008-07-01,97.39619,-0.9845399999999955,-1.0007447596699024,-13.206869999999995,-11.940781746906454
2008-08-01,98.72342,1.3272300000000001,1.3627124428583912,-13.196129999999997,-11.790728250783706
2008-09-01,89.38357,-9.339849999999998,-9.46062241360763,-26.39165,-22.795594774080325
2008-10-01,73.55717,-15.826400000000007,-17.706162329385595,-44.31267,-37.594578901608756
2008-11-01,67.46441,-6.092759999999998,-8.283026658040269,-44.923069999999996,-39.97159648031969
2008-12-01,68.45235,0.9879399999999947,1.4643869263808795,-43.05883,-38.61391297267234
2009-01-01,62.77196,-5.680389999999996,-8.298312621845701,-41.858439999999995,-40.006002079701496
2009-02-01,56.04877,-6.723190000000002,-10.710498764097858,-45.2164,-44.65148283462123
2009-03-01,60.79972,4.750950000000003,8.476457199685209,-39.60457,-39.44509741565824
2009-04-01,67.0862,6.2864800000000045,10.339652879980376,-38.20622,-36.2858219043688
2009-05-01,70.47024,3.384039999999999,5.044316118665238,-36.808859999999996,-34.311305743616415
2009-06-01,70.63282,0.1625799999999913,0.23070731701778122,-27.747910000000005,-28.204618932996333
2009-07-01,76.04043,5.407610000000005,7.6559452107391515,-21.355760000000004,-21.926689329428598
2009-08-01,78.70833,2.667900000000003,3.508528292120393,-20.01509,-20.273902585627603
2009-09-01,81.86041,3.152079999999998,4.004760360180425,-7.523160000000004,-8.416714615448907
2009-10-01,79.76943,-2.090980000000002,-2.5543238789055684,6.212260000000001,8.445485327942878
2009-11-01,84.19757,4.428139999999999,5.551174177877414,16.733159999999998,24.80294424867867
2009-12-01,86.32831,2.130740000000003,2.530643105258267,17.875960000000006,26.114457721320022
2010-01-01,83.25226,-3.076049999999995,-3.5631996039306166,20.480300000000007,32.626510308105736
2010-02-01,85.86083,2.6085700000000003,3.1333323563828777,29.81206000000001,53.18949907375311
2010-03-01,91.07094,5.210109999999986,6.068087159185376,30.271219999999992,49.78842007825035
2010-04-01,92.90275,1.8318100000000044,2.0114100063093723,25.816549999999992,38.48265366051437
2010-05-01,85.36758,-7.535169999999994,-8.1108148036522,14.89734,21.13990246095373
2010-06-01,80.53107,-4.836510000000004,-5.665511427171772,9.898250000000004,14.013669566074249
2010-07-01,86.00428,5.473209999999995,6.796395478167612,9.963849999999994,13.103358305575066
2010-08-01,81.80864,-4.195639999999997,-4.878408376885426,3.1003099999999932,3.938985873540949
2010-09-01,89.28992,7.481279999999998,9.144853159764052,7.429509999999993,9.07582798571372
2010-10-01,92.66232,3.372399999999999,3.7769100924270056,12.892889999999994,16.162695408504227
