DATE,NASDAQCOM,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2013-05-01,87.70566,3.2261099999999914,3.8188058530141213,15.95214,22.23185705732625
2013-06-01,86.36923,-1.336429999999993,-1.5237671092150642,11.88194,15.95163416470112
2013-07-01,92.03167,5.662440000000004,6.556084846420425,17.43119,23.36605608971953
2013-08-01,91.10536,-0.9263100000000009,-1.006512214762593,13.270650000000003,17.049784087330707
2013-09-01,95.71434,4.6089800000000025,5.058955916534441,16.629230000000007,21.02700495706462
2013-10-01,99.47619,3.7618499999999955,3.930288815657085,23.918689999999998,31.65627502233398
2013-11-01,103.03374,3.557549999999992,3.5762829276030694,26.638499999999993,34.869319083230835
2013-12-01,105.99541,2.9616700000000122,2.874466170013835,29.36491000000001,38.32013362825508
2014-01-01,104.15014,-1.8452700000000135,-1.7408961388045139,24.407729999999987,30.608217133141558
2014-02-01,109.33343,5.183290000000014,4.976747990929263,29.13269000000001,36.324714709614916
2014-03-01,106.56388,-2.7695500000000095,-2.5331227603487876,23.639269999999996,28.50694142547067
2014-04-01,104.42118,-2.1426999999999907,-2.0107188289315205,19.941630000000004,23.605274886052307
2014-05-01,107.67115,3.2499699999999905,3.112366667375326,19.965490000000003,22.764197886430594
2014-06-01,111.8728,4.201650000000001,3.9022988052045524,25.503569999999996,29.52853695696951
2014-07-01,110.89802,-0.9747799999999955,-0.8713288663553568,18.866349999999997,20.49984532498432
2014-08-01,116.24018,5.342159999999993,4.817182488920896,25.13481999999999,27.588739016013974
2014-09-01,114.0353,-2.2048799999999886,-1.8968311989881543,18.32096,19.14129063628292
2014-10-01,117.52103,3.4857299999999896,3.056711386737255,18.044839999999994,18.13985839224441
2014-11-01,121.60417,4.08314,3.4743909239052795,18.57043,18.023639634939002
2014-12-01,120.19364,-1.4105299999999943,-1.159935551552216,14.198229999999995,13.395136638463867
2015-01-01,117.63524,-2.558400000000006,-2.1285652052804176,13.485100000000003,12.947750238261804
2015-02-01,125.96673,8.331490000000002,7.082478005740459,16.63329999999999,15.213370695495412
2015-03-01,124.37702,-1.5897099999999966,-1.262007833338213,17.813140000000004,16.715926634803466
2015-04-01,125.40561,1.0285899999999941,0.8269936038023697,20.98442999999999,20.095951798284588
2015-05-01,128.66953,3.263920000000013,2.6026905813862817,20.99838000000001,19.502327225073763
2015-06-01,126.55906,-2.1104700000000065,-1.6402251566474255,14.686260000000004,13.127641392724598
2015-07-01,130.14783,3.5887699999999967,2.8356484316492208,19.249809999999997,17.358118747295936
2015-08-01,121.22045,-8.92738,-6.8594151742676,4.980270000000004,4.284465147937662
2015-09-01,117.25253,-3.9679200000000066,-3.273309082749657,3.2172299999999865,2.821257978888981
2015-10-01,128.25637,11.003840000000011,9.384735664125978,10.735340000000008,9.13482463521636
2015-11-01,129.65016,1.3937899999999956,1.0867218524896625,8.045990000000003,6.616541192625223
2015-12-01,127.08034,-2.569819999999993,-1.9821186491401113,6.886700000000005,5.729670887744147
2016-01-01,117.09493,-9.985410000000002,-7.857556880946339,-0.540309999999991,-0.4593096422466524
2016-02-01,115.67373,-1.421199999999999,-1.213716084889413,-10.292999999999992,-8.171205206327095
2016-03-01,123.58928,7.915549999999996,6.842997109196699,-0.7877399999999994,-0.6333485076262475
2016-04-01,121.19126,-2.3980200000000025,-1.9403139171941146,-4.214349999999996,-3.360575336302735
2016-05-01,125.57387,4.38261,3.6162756291171485,-3.0956600000000094,-2.4058998272551464
2016-06-01,122.89949,-2.6743799999999993,-2.129726510778078,-3.659570000000002,-2.8915906929144404
2016-07-01,131.00689,8.107399999999998,6.596772696127541,0.8590599999999995,0.6600647894014057
2016-08-01,132.30348,1.296590000000009,0.9897113044970451,11.083030000000008,9.142871520440659
2016-09-01,134.81036,2.5068799999999953,1.8947952087125715,17.55783000000001,14.974371981568337
