DATE,MORTGAGE15US_Monthly Change,MORTGAGE30US_Monthly Change,MORTGAGE5US_Monthly Change,Rent Index Mon_Chg,NASDAQCOM Mon_Chg,WILL5000 Per_Mon_Chg,House Completed,House Under Construction,5yr_Maturity Per_Mon_Chg,10yr_Maturity Per_Mon_Chg,30yr_Maturity Per_Mon_Chg,CPI Mon_Chg,House Index Monthly Change,Year,Month,Unemployment Rate,Unemployment Rate - Black or African American,Unemployment Rate - White,Insured Unemployment Rate,Number Unemployed for 27 Weeks & Over,EMRATIO,Personal Income,Real Personal Income,Job Openings- Total Nonfarm,AverageHourlySalary-Private,Median Sales Price for New Houses Sold,Real Private Residential Fixed Investment,Total Construction Spending- Residential,Monthly Supply of Houses in the United States,Homeownership Rate for the United States
2008-02-01,0.1520000000000001,0.1595000000000004,-0.1520000000000001,0.31122000000002,-3.0043000000000006,-3.2163023366058017,9.3,5.78,-6.71140939597316,-3.814713896457769,4.3879907621247005,0.3030100000000004,-1.592000000000013,2008,2,4.9,8.4,4.4,2.525,1329,62.8,12311.0,13195.34,4279.0,21.26,245300.0,,393193.0,9.7,
2008-03-01,-0.0200000000000004,0.0524999999999993,0.2374999999999998,0.3316700000000026,0.1933800000000047,-0.8501244801149246,9.04,5.63,-10.791366906474812,-2.2662889518413496,-2.8761061946902635,0.4495000000000004,-1.4879999999999995,2008,3,5.1,9.2,4.5,2.46,1323,62.7,12355.4,13202.006,4225.0,21.36,229300.0,,397469.0,10.5,
2008-04-01,0.0449999999999999,-0.0524999999999993,0.04,0.4184599999999818,3.393099999999997,4.868447354191742,7.95,5.52,14.51612903225806,9.275362318840576,1.1389521640091278,0.2917899999999918,-1.7139999999999986,2008,4,5.0,8.6,4.4,2.25,1372,62.7,12342.8,13160.788,4035.0,21.38,246400.0,523.807,392801.0,10.3,68.1
2008-05-01,0.1349999999999998,0.1184999999999991,0.0625,0.2708700000000021,2.788080000000001,1.886821482496074,8.79,5.32,10.915492957746482,7.692307692307682,3.6036036036035854,0.7477800000000059,-1.6779999999999973,2008,5,5.4,9.6,4.8,2.1,1561,62.5,12910.1,13704.098,4194.0,21.47,229300.0,,389335.0,10.7,
2008-06-01,0.3100000000000005,0.2840000000000007,0.1325000000000002,0.5279199999999946,-5.82893,-8.294597922614937,8.5,5.11,10.793650793650803,-1.7241379310344682,1.9565217391304512,1.3319599999999951,-1.6409999999999911,2008,6,5.6,9.4,5.0,2.1,1576,62.4,12675.0,13359.533,3830.0,21.52,234300.0,,382000.0,10.7,
2008-07-01,0.0620000000000002,0.1059999999999998,0.1535000000000002,0.4383600000000172,0.8265799999999999,-1.0007447596699024,8.31,4.89,-5.444126074498578,0.0,-2.558635394456292,0.9173000000000116,-1.4490000000000125,2008,7,5.8,10.0,5.2,2.375,1664,62.2,12518.8,13138.288,3749.0,21.59,237300.0,497.233,372755.0,10.5,67.7
2008-08-01,0.0529999999999999,0.0514999999999998,0.0964999999999998,0.4422399999999982,1.0651300000000037,1.3627124428583912,7.12,4.79,-4.84848484848484,-4.010025062656645,-1.5317286652078836,-0.1925500000000113,-1.578000000000003,2008,8,6.1,10.6,5.4,2.36,1866,62.0,12428.1,13054.138,3674.0,21.7,221000.0,,360382.0,11.3,
2008-09-01,-0.3850000000000007,-0.4400000000000004,-0.1399999999999996,0.3869499999999846,-7.237680000000003,-9.46062241360763,8.2,4.56,-8.28025477707007,0.522193211488251,-5.1111111111111205,0.1104500000000143,-1.681999999999988,2008,9,6.1,11.3,5.4,2.3,2027,61.9,12454.6,13067.915,3222.0,21.72,225200.0,,348206.0,10.9,
2008-10-01,0.2520000000000006,0.1625000000000005,0.2094999999999993,0.4085100000000068,-9.17127,-17.706162329385595,7.49,4.37,-5.20833333333333,4.155844155844148,-2.341920374707252,-1.1116400000000226,-1.9840000000000089,2008,10,6.5,11.4,5.9,2.375,2280,61.7,12438.7,13131.123,3377.0,21.76,213200.0,448.838,336824.0,11.6,67.5
2008-11-01,-0.1020000000000003,-0.1124999999999998,-0.1169999999999999,0.3549000000000148,-4.704650000000001,-8.283026658040269,7.54,4.17,-16.117216117216117,-26.93266832917705,-4.0767386091127085,-2.269339999999985,-2.187000000000012,2008,11,6.8,11.5,6.2,2.82,2219,61.4,12372.0,13211.827,3231.0,21.88,221600.0,,320284.0,11.4,
