DATE,5yr_Maturity,5yr_Maturity Mon_Chg,5yr_Maturity Per_Mon_Chg,5yr_Maturity Yr_Chg,5yr_Maturity Per_Yr_Chg,10yr_Maturity,10yr_Maturity Mon_Chg,10yr_Maturity Per_Mon_Chg,10yr_Maturity Yr_Chg,10yr_Maturity Per_Yr_Chg,30yr_Maturity,30yr_Maturity Mon_Chg,30yr_Maturity Per_Mon_Chg,30yr_Maturity Yr_Chg,30yr_Maturity Per_Yr_Chg
2011-01-01,1.99,0.06,3.108808290155443,-0.49,-19.758064516129032,3.42,0.1200000000000001,3.63636363636364,-0.2099999999999999,-5.785123966942148,4.52,0.0999999999999996,2.262443438914019,-0.08,-1.7391304347826104
2011-02-01,2.26,0.2699999999999998,13.56783919597989,-0.1,-4.237288135593224,3.42,0.0,0.0,-0.1899999999999999,-5.263157894736841,4.65,0.1300000000000007,2.876106194690283,0.0300000000000002,0.6493506493506547
2011-03-01,2.11,-0.1499999999999999,-6.637168141592917,-0.3200000000000003,-13.1687242798354,3.47,0.0500000000000002,1.461988304093575,-0.3699999999999996,-9.63541666666666,4.51,-0.1400000000000005,-3.010752688172055,-0.1299999999999999,-2.8017241379310325
2011-04-01,2.17,0.06,2.8436018957346,-0.4100000000000001,-15.89147286821706,3.32,-0.1500000000000003,-4.322766570605197,-0.3700000000000001,-10.027100271002713,4.5,-0.0099999999999997,-0.2217294900221682,-0.1900000000000004,-4.051172707889133
2011-05-01,1.84,-0.3299999999999998,-15.207373271889391,-0.3400000000000001,-15.59633027522936,3.05,-0.27,-8.13253012048193,-0.2600000000000002,-7.854984894259825,4.29,-0.2099999999999999,-4.666666666666666,0.0,0.0
2011-06-01,1.58,-0.26,-14.130434782608695,-0.4199999999999999,-21.0,3.18,0.1300000000000003,4.262295081967225,0.2099999999999999,7.070707070707069,4.23,-0.0599999999999996,-1.3986013986013894,0.1000000000000005,2.421307506053282
2011-07-01,1.54,-0.04,-2.531645569620255,-0.2199999999999999,-12.499999999999998,2.82,-0.3600000000000003,-11.320754716981142,-0.1200000000000001,-4.081632653061228,4.27,0.0399999999999991,0.9456264775413508,0.2799999999999993,7.0175438596491055
2011-08-01,1.02,-0.52,-33.76623376623377,-0.4499999999999999,-30.61224489795918,2.23,-0.5899999999999999,-20.921985815602834,-0.2400000000000002,-9.716599190283407,3.65,-0.6199999999999997,-14.519906323185005,-0.1499999999999999,-3.947368421052629
2011-09-01,0.9,-0.12,-11.76470588235294,-0.5099999999999999,-36.17021276595744,1.92,-0.31,-13.901345291479824,-0.6099999999999999,-24.11067193675889,3.18,-0.4699999999999997,-12.876712328767118,-0.5899999999999999,-15.649867374005302
2011-10-01,1.06,0.16,17.777777777777782,-0.1199999999999998,-10.16949152542372,2.17,0.25,13.020833333333334,-0.4599999999999999,-17.490494296577946,3.13,-0.0500000000000002,-1.5723270440251655,-0.7400000000000002,-19.121447028423777
